"Sample_ID","class","order","family","genus","species","tot"
"COI.0321.1Prt.Up.1","Dinophyceae","Peridiniales","Peridiniaceae","Peridinium","Peridinium willei",81
"COI.0321.1Prt.Up.1","Dinophyceae","Peridiniales","Thoracosphaeraceae","Thoracosphaera","Thoracosphaera heimii",298
"COI.0321.1Prt.Up.1","Eutardigrada","Parachela","Ramazzottiidae","Ramazzottius","",26
"COI.0321.1Prt.Up.1","Gastropoda","Stylommatophora","Vertiginidae","Vertigo","",5
"COI.0321.1Prt.Up.1","Hydrozoa","Anthoathecata","Hydridae","Hydra","",3
"COI.0321.1Prt.Up.1","Hydrozoa","Anthoathecata","Hydridae","Hydra","Hydra vulgaris",43
"COI.0321.1Prt.Up.1","Insecta","Lepidoptera","Drepanidae","Habrosyne","Habrosyne scripta",3
"COI.0321.1Prt.Up.1","Insecta","Plecoptera","Pteronarcyidae","Pteronarcys","Pteronarcys princeps",7
"COI.0321.1Prt.Up.1","Insecta","Trichoptera","Lepidostomatidae","Lepidostoma","Lepidostoma unicolor",15
"COI.0321.1Prt.Up.1","Insecta","Trichoptera","Limnephilidae","Psychoglypha","Psychoglypha alascensis",33
"COI.0321.1Prt.Up.1","Insecta","Trichoptera","Philopotamidae","Wormaldia","Wormaldia anilla",21
"COI.0321.1Prt.Up.1","Mammalia","Didelphimorphia","Didelphidae","Didelphis","Didelphis virginiana",10
"COI.0321.1Prt.Up.1","Mammalia","Rodentia","Muridae","Rattus","Rattus rattus",8
"COI.0321.1Prt.Up.1","Monogononta","Ploima","Brachionidae","Kellicottia","",52
"COI.0321.1Prt.Up.1","Monogononta","Ploima","Brachionidae","Keratella","",296
"COI.0321.1Prt.Up.1","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","",24
"COI.0321.1Prt.Up.1","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora cambivora",71
"COI.0321.1Prt.Up.1","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora gonapodyides",42
"COI.0321.1Prt.Up.1","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora lacustris",40
"COI.0321.1Prt.Up.1","Oomycetes","Pythiales","Pythiaceae","Pythium","",5
"COI.0321.1Prt.Up.2","","","","","",39209
"COI.0321.1Prt.Up.2","","Himatismenida","Cochliopodiidae","Cochliopodium","",267
"COI.0321.1Prt.Up.2","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus kisutch",12
"COI.0321.1Prt.Up.2","Aves","Passeriformes","Passerellidae","Passerella","Passerella iliaca",16
"COI.0321.1Prt.Up.2","Bacillariophyceae","Cymbellales","Gomphonemataceae","Gomphonema","",161
"COI.0321.1Prt.Up.2","Bdelloidea","","","Rotaria","",797
"COI.0321.1Prt.Up.2","Clitellata","Haplotaxida","Lumbricidae","Aporrectodea","",24
"COI.0321.1Prt.Up.2","Clitellata","Haplotaxida","Lumbricidae","Eiseniella","",9
"COI.0321.1Prt.Up.2","Clitellata","Haplotaxida","Lumbricidae","Octolasion","",16
"COI.0321.1Prt.Up.2","Clitellata","Haplotaxida","Naididae","Chaetogaster","",28
"COI.0321.1Prt.Up.2","Clitellata","Haplotaxida","Naididae","Dero","Dero digitata",6
"COI.0321.1Prt.Up.2","Clitellata","Lumbriculida","Lumbriculidae","Lumbriculus","Lumbriculus variegatus",27
"COI.0321.1Prt.Up.2","Clitellata","Lumbriculida","Lumbriculidae","Stylodrilus","Stylodrilus heringianus",28
"COI.0321.1Prt.Up.2","Collembola","Entomobryomorpha","Tomoceridae","Tomocerus","",7
"COI.0321.1Prt.Up.2","Dinophyceae","Peridiniales","Thoracosphaeraceae","Thoracosphaera","Thoracosphaera heimii",432
"COI.0321.1Prt.Up.2","Gastropoda","Stylommatophora","Arionidae","Arion","Arion ater",5
"COI.0321.1Prt.Up.2","Gastropoda","Stylommatophora","Arionidae","Arion","Arion subfuscus",5
"COI.0321.1Prt.Up.2","Hydrozoa","Anthoathecata","Hydridae","Hydra","Hydra vulgaris",54
"COI.0321.1Prt.Up.2","Insecta","Trichoptera","Goeridae","Goeracea","Goeracea genota",9
"COI.0321.1Prt.Up.2","Insecta","Trichoptera","Hydropsychidae","Parapsyche","Parapsyche almota",69
"COI.0321.1Prt.Up.2","Insecta","Trichoptera","Lepidostomatidae","Lepidostoma","Lepidostoma unicolor",35
"COI.0321.1Prt.Up.2","Insecta","Trichoptera","Limnephilidae","Limnephilus","",6
"COI.0321.1Prt.Up.2","Insecta","Trichoptera","Limnephilidae","Limnephilus","Limnephilus nogus",15
"COI.0321.1Prt.Up.2","Insecta","Trichoptera","Limnephilidae","Psychoglypha","Psychoglypha alascensis",70
"COI.0321.1Prt.Up.2","Insecta","Trichoptera","Philopotamidae","Wormaldia","Wormaldia anilla",5
"COI.0321.1Prt.Up.2","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","Rhyacophila narvae",21
"COI.0321.1Prt.Up.2","Mammalia","Didelphimorphia","Didelphidae","Didelphis","Didelphis virginiana",8
"COI.0321.1Prt.Up.2","Mammalia","Rodentia","Castoridae","Castor","Castor canadensis",78
"COI.0321.1Prt.Up.2","Monogononta","Ploima","Brachionidae","Keratella","",187
"COI.0321.1Prt.Up.2","Monogononta","Ploima","Synchaetidae","Synchaeta","",23
"COI.0321.1Prt.Up.2","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","",51
"COI.0321.1Prt.Up.2","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora cambivora",82
"COI.0321.1Prt.Up.2","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora gonapodyides",84
"COI.0321.1Prt.Up.2","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora lacustris",34
"COI.0321.1Prt.Up.3","","","","","",34879
"COI.0321.1Prt.Up.3","","Himatismenida","Cochliopodiidae","Cochliopodium","",308
"COI.0321.1Prt.Up.3","Bacillariophyceae","Cymbellales","Gomphonemataceae","Gomphonema","",47
"COI.0321.1Prt.Up.3","Branchiopoda","Diplostraca","Daphniidae","Daphnia","Daphnia obtusa",2
"COI.0321.1Prt.Up.3","Clitellata","Haplotaxida","Lumbricidae","Dendrobaena","",8
"COI.0321.1Prt.Up.3","Clitellata","Haplotaxida","Lumbricidae","Dendrodrilus","Dendrodrilus rubidus",117
"COI.0321.1Prt.Up.3","Clitellata","Haplotaxida","Lumbricidae","Eiseniella","",5
"COI.0321.1Prt.Up.3","Clitellata","Haplotaxida","Lumbricidae","Lumbricus","Lumbricus rubellus",22
"COI.0321.1Prt.Up.3","Clitellata","Haplotaxida","Naididae","Chaetogaster","",51
"COI.0321.1Prt.Up.3","Clitellata","Lumbriculida","Lumbriculidae","Stylodrilus","Stylodrilus heringianus",38
"COI.0321.1Prt.Up.3","Collembola","Entomobryomorpha","Isotomidae","Isotomurus","",25
"COI.0321.1Prt.Up.3","Dinophyceae","Peridiniales","Thoracosphaeraceae","Thoracosphaera","Thoracosphaera heimii",291
"COI.0321.1Prt.Up.3","Diplopoda","Julida","Julidae","Ophyiulus","Ophyiulus pilosus",9
"COI.0321.1Prt.Up.3","Hydrozoa","Anthoathecata","Hydridae","Hydra","Hydra vulgaris",11
"COI.0321.1Prt.Up.3","Insecta","Diptera","Ptychopteridae","Ptychoptera","",28
"COI.0321.1Prt.Up.3","Insecta","Trichoptera","Lepidostomatidae","Lepidostoma","Lepidostoma cascadense",794
"COI.0321.1Prt.Up.3","Insecta","Trichoptera","Lepidostomatidae","Lepidostoma","Lepidostoma unicolor",25
"COI.0321.1Prt.Up.3","Insecta","Trichoptera","Limnephilidae","Onocosmoecus","Onocosmoecus unicolor",19
"COI.0321.1Prt.Up.3","Insecta","Trichoptera","Limnephilidae","Psychoglypha","Psychoglypha alascensis",18
"COI.0321.1Prt.Up.3","Insecta","Trichoptera","Philopotamidae","Wormaldia","Wormaldia anilla",10
"COI.0321.1Prt.Up.3","Mammalia","Carnivora","Procyonidae","Procyon","Procyon lotor",3
"COI.0321.1Prt.Up.3","Mammalia","Didelphimorphia","Didelphidae","Didelphis","Didelphis virginiana",2
"COI.0321.1Prt.Up.3","Mammalia","Primates","Hominidae","Homo","",4
"COI.0321.1Prt.Up.3","Mammalia","Rodentia","Castoridae","Castor","Castor canadensis",116
"COI.0321.1Prt.Up.3","Monogononta","Ploima","Brachionidae","Keratella","",2
"COI.0321.1Prt.Up.3","Monogononta","Ploima","Synchaetidae","Synchaeta","Synchaeta pectinata",6
